,id,prod,cat,video_id,aspect,negative,neutral,positive
0,25,VR,Apple,SaneSRqePVY,gaming,0.07381427,0.5555694,0.37061632
0,25,VR,Apple,SaneSRqePVY,mixed reality,0.07839334,0.5472774,0.3743293
0,25,VR,Apple,SaneSRqePVY,Gyroscope,0.076408714,0.5305844,0.3930069
0,25,VR,Apple,SaneSRqePVY,audio,0.07659844,0.547723,0.3756785
0,25,VR,Apple,SaneSRqePVY,visual,0.074927315,0.53871214,0.3863605
0,25,VR,Apple,SaneSRqePVY,technology,0.07422645,0.52789587,0.3978778
0,25,VR,Apple,SaneSRqePVY,specification,0.07524133,0.5352376,0.38952103
0,26,VR,Apple,SaneSRqePVY,performance,0.092824586,0.4148977,0.4922777
0,26,VR,Apple,SaneSRqePVY,experience,0.095535405,0.41452453,0.48994002
0,26,VR,Apple,SaneSRqePVY,gaming,0.097901054,0.44221956,0.45987943
0,26,VR,Apple,SaneSRqePVY,mixed reality,0.10453054,0.43207344,0.463396
0,26,VR,Apple,SaneSRqePVY,Gyroscope,0.100405365,0.4279223,0.47167236
0,26,VR,Apple,SaneSRqePVY,audio,0.0986628,0.4352268,0.46611032
0,26,VR,Apple,SaneSRqePVY,visual,0.0984051,0.43231827,0.4692767
0,26,VR,Apple,SaneSRqePVY,technology,0.09601832,0.430922,0.4730597
0,26,VR,Apple,SaneSRqePVY,specification,0.09565215,0.41683644,0.4875115
0,27,VR,Apple,SaneSRqePVY,performance,0.117801234,0.19916046,0.6830383
0,27,VR,Apple,SaneSRqePVY,experience,0.12138579,0.20401661,0.67459756
0,27,VR,Apple,SaneSRqePVY,gaming,0.13258497,0.26394796,0.60346705
0,27,VR,Apple,SaneSRqePVY,mixed reality,0.13013397,0.24060234,0.6292637
0,27,VR,Apple,SaneSRqePVY,Gyroscope,0.13403203,0.23700161,0.62896633
0,27,VR,Apple,SaneSRqePVY,audio,0.12376874,0.22595663,0.65027463
0,27,VR,Apple,SaneSRqePVY,visual,0.1271346,0.21426596,0.65859944
0,27,VR,Apple,SaneSRqePVY,technology,0.12318486,0.23437494,0.6424402
0,27,VR,Apple,SaneSRqePVY,specification,0.12623592,0.22908168,0.64468247
0,28,VR,Apple,SaneSRqePVY,performance,0.061370105,0.35790136,0.5807285
0,28,VR,Apple,SaneSRqePVY,experience,0.059556402,0.3635124,0.5769312
0,28,VR,Apple,SaneSRqePVY,gaming,0.060924083,0.38815248,0.5509234
0,28,VR,Apple,SaneSRqePVY,mixed reality,0.06365164,0.3686135,0.56773484
0,28,VR,Apple,SaneSRqePVY,Gyroscope,0.062109657,0.37299627,0.5648941
0,28,VR,Apple,SaneSRqePVY,audio,0.05961161,0.372318,0.5680704
0,28,VR,Apple,SaneSRqePVY,visual,0.06171476,0.35676926,0.581516
0,28,VR,Apple,SaneSRqePVY,technology,0.060726456,0.36788377,0.57138973
0,28,VR,Apple,SaneSRqePVY,specification,0.06173155,0.3820357,0.55623275
